store_id,sku_id,date,on_hand,oos_flag
S001,D010,2025-12-16,28,0
S001,D010,2025-12-17,28,0
S001,D010,2025-12-18,37,0
S001,D010,2025-12-19,40,0
S001,D010,2025-12-20,43,0
S001,D010,2025-12-21,35,0
S001,D010,2025-12-22,18,0
S001,D010,2025-12-23,6,1
S001,D010,2025-12-24,36,0
S001,D010,2025-12-25,42,0
S001,D010,2025-12-26,40,0
S001,D010,2025-12-27,34,0
S001,D010,2025-12-28,15,0
S001,D010,2025-12-29,8,0
S001,D011,2025-12-16,29,0
S001,D011,2025-12-17,39,0
S001,D011,2025-12-18,16,0
S001,D011,2025-12-19,13,0
S001,D011,2025-12-20,23,0
S001,D011,2025-12-21,23,0
S001,D011,2025-12-22,9,0
S001,D011,2025-12-23,26,0
S001,D011,2025-12-24,17,0
S001,D011,2025-12-25,15,0
S001,D011,2025-12-26,17,0
S001,D011,2025-12-27,38,0
S001,D011,2025-12-28,36,0
S001,D011,2025-12-29,39,0
S001,D013,2025-12-16,28,0
S001,D013,2025-12-17,41,0
S001,D013,2025-12-18,38,0
S001,D013,2025-12-19,25,0
S001,D013,2025-12-20,10,0
S001,D013,2025-12-21,36,0
S001,D013,2025-12-22,8,0
S001,D013,2025-12-23,10,0
S001,D013,2025-12-24,17,0
S001,D013,2025-12-25,10,0
S001,D013,2025-12-26,21,0
S001,D013,2025-12-27,10,0
S001,D013,2025-12-28,8,0
S001,D013,2025-12-29,37,0
S001,D020,2025-12-16,17,0
S001,D020,2025-12-17,20,0
S001,D020,2025-12-18,8,0
S001,D020,2025-12-19,13,0
S001,D020,2025-12-20,33,0
S001,D020,2025-12-21,14,0
S001,D020,2025-12-22,40,0
S001,D020,2025-12-23,21,0
S001,D020,2025-12-24,15,0
S001,D020,2025-12-25,12,0
S001,D020,2025-12-26,6,1
S001,D020,2025-12-27,41,0
S001,D020,2025-12-28,7,1
S001,D020,2025-12-29,42,0
S001,D021,2025-12-16,24,0
S001,D021,2025-12-17,22,0
S001,D021,2025-12-18,30,0
S001,D021,2025-12-19,38,0
S001,D021,2025-12-20,42,0
S001,D021,2025-12-21,32,0
S001,D021,2025-12-22,43,0
S001,D021,2025-12-23,26,0
S001,D021,2025-12-24,21,0
S001,D021,2025-12-25,35,0
S001,D021,2025-12-26,36,0
S001,D021,2025-12-27,19,0
S001,D021,2025-12-28,11,0
S001,D021,2025-12-29,22,0
S001,D032,2025-12-16,17,0
S001,D032,2025-12-17,9,0
S001,D032,2025-12-18,42,0
S001,D032,2025-12-19,30,0
S001,D032,2025-12-20,38,0
S001,D032,2025-12-21,37,0
S001,D032,2025-12-22,10,0
S001,D032,2025-12-23,15,0
S001,D032,2025-12-24,33,0
S001,D032,2025-12-25,32,0
S001,D032,2025-12-26,31,0
S001,D032,2025-12-27,37,0
S001,D032,2025-12-28,41,0
S001,D032,2025-12-29,21,0
S001,D045,2025-12-16,26,0
S001,D045,2025-12-17,11,0
S001,D045,2025-12-18,28,0
S001,D045,2025-12-19,43,0
S001,D045,2025-12-20,13,0
S001,D045,2025-12-21,7,0
S001,D045,2025-12-22,39,0
S001,D045,2025-12-23,12,0
S001,D045,2025-12-24,10,0
S001,D045,2025-12-25,32,0
S001,D045,2025-12-26,36,0
S001,D045,2025-12-27,7,0
S001,D045,2025-12-28,37,0
S001,D045,2025-12-29,20,0
S001,D048,2025-12-16,20,0
S001,D048,2025-12-17,8,0
S001,D048,2025-12-18,43,0
S001,D048,2025-12-19,44,0
S001,D048,2025-12-20,11,0
S001,D048,2025-12-21,7,0
S001,D048,2025-12-22,39,0
S001,D048,2025-12-23,10,0
S001,D048,2025-12-24,19,0
S001,D048,2025-12-25,17,0
S001,D048,2025-12-26,32,0
S001,D048,2025-12-27,12,0
S001,D048,2025-12-28,6,0
S001,D048,2025-12-29,26,0
S001,D053,2025-12-16,14,0
S001,D053,2025-12-17,17,0
S001,D053,2025-12-18,21,0
S001,D053,2025-12-19,41,0
S001,D053,2025-12-20,34,0
S001,D053,2025-12-21,24,0
S001,D053,2025-12-22,43,0
S001,D053,2025-12-23,32,0
S001,D053,2025-12-24,30,0
S001,D053,2025-12-25,11,0
S001,D053,2025-12-26,34,0
S001,D053,2025-12-27,9,0
S001,D053,2025-12-28,33,0
S001,D053,2025-12-29,30,0
S001,D054,2025-12-16,19,0
S001,D054,2025-12-17,20,0
S001,D054,2025-12-18,27,0
S001,D054,2025-12-19,10,0
S001,D054,2025-12-20,19,0
S001,D054,2025-12-21,38,0
S001,D054,2025-12-22,18,0
S001,D054,2025-12-23,12,0
S001,D054,2025-12-24,36,0
S001,D054,2025-12-25,21,0
S001,D054,2025-12-26,15,0
S001,D054,2025-12-27,32,0
S001,D054,2025-12-28,44,0
S001,D054,2025-12-29,6,1
S002,D002,2025-12-16,10,0
S002,D002,2025-12-17,30,0
S002,D002,2025-12-18,34,0
S002,D002,2025-12-19,41,0
S002,D002,2025-12-20,37,0
S002,D002,2025-12-21,40,0
S002,D002,2025-12-22,41,0
S002,D002,2025-12-23,10,0
S002,D002,2025-12-24,17,0
S002,D002,2025-12-25,8,0
S002,D002,2025-12-26,13,0
S002,D002,2025-12-27,11,0
S002,D002,2025-12-28,6,1
S002,D002,2025-12-29,16,0
S002,D013,2025-12-16,7,0
S002,D013,2025-12-17,38,0
S002,D013,2025-12-18,6,1
S002,D013,2025-12-19,36,0
S002,D013,2025-12-20,32,0
S002,D013,2025-12-21,8,0
S002,D013,2025-12-22,20,0
S002,D013,2025-12-23,28,0
S002,D013,2025-12-24,28,0
S002,D013,2025-12-25,39,0
S002,D013,2025-12-26,44,0
S002,D013,2025-12-27,22,0
S002,D013,2025-12-28,21,0
S002,D013,2025-12-29,40,0
S002,D014,2025-12-16,35,0
S002,D014,2025-12-17,22,0
S002,D014,2025-12-18,16,0
S002,D014,2025-12-19,26,0
S002,D014,2025-12-20,31,0
S002,D014,2025-12-21,11,0
S002,D014,2025-12-22,14,0
S002,D014,2025-12-23,23,0
S002,D014,2025-12-24,14,0
S002,D014,2025-12-25,13,0
S002,D014,2025-12-26,32,0
S002,D014,2025-12-27,27,0
S002,D014,2025-12-28,15,0
S002,D014,2025-12-29,17,0
S002,D015,2025-12-16,21,0
S002,D015,2025-12-17,9,0
S002,D015,2025-12-18,13,0
S002,D015,2025-12-19,41,0
S002,D015,2025-12-20,22,0
S002,D015,2025-12-21,7,0
S002,D015,2025-12-22,38,0
S002,D015,2025-12-23,7,0
S002,D015,2025-12-24,41,0
S002,D015,2025-12-25,9,0
S002,D015,2025-12-26,42,0
S002,D015,2025-12-27,33,0
S002,D015,2025-12-28,16,0
S002,D015,2025-12-29,11,0
S002,D018,2025-12-16,40,0
S002,D018,2025-12-17,19,0
S002,D018,2025-12-18,30,0
S002,D018,2025-12-19,23,0
S002,D018,2025-12-20,16,0
S002,D018,2025-12-21,41,0
S002,D018,2025-12-22,26,0
S002,D018,2025-12-23,36,0
S002,D018,2025-12-24,43,0
S002,D018,2025-12-25,38,0
S002,D018,2025-12-26,38,0
S002,D018,2025-12-27,43,0
S002,D018,2025-12-28,7,1
S002,D018,2025-12-29,11,0
S002,D019,2025-12-16,7,0
S002,D019,2025-12-17,19,0
S002,D019,2025-12-18,21,0
S002,D019,2025-12-19,6,0
S002,D019,2025-12-20,11,0
S002,D019,2025-12-21,12,0
S002,D019,2025-12-22,8,0
S002,D019,2025-12-23,39,0
S002,D019,2025-12-24,21,0
S002,D019,2025-12-25,31,0
S002,D019,2025-12-26,44,0
S002,D019,2025-12-27,42,0
S002,D019,2025-12-28,17,0
S002,D019,2025-12-29,30,0
S002,D020,2025-12-16,21,0
S002,D020,2025-12-17,37,0
S002,D020,2025-12-18,7,1
S002,D020,2025-12-19,30,0
S002,D020,2025-12-20,33,0
S002,D020,2025-12-21,33,0
S002,D020,2025-12-22,17,0
S002,D020,2025-12-23,13,0
S002,D020,2025-12-24,7,0
S002,D020,2025-12-25,19,0
S002,D020,2025-12-26,29,0
S002,D020,2025-12-27,16,0
S002,D020,2025-12-28,43,0
S002,D020,2025-12-29,38,0
S002,D023,2025-12-16,26,0
S002,D023,2025-12-17,40,0
S002,D023,2025-12-18,9,0
S002,D023,2025-12-19,25,0
S002,D023,2025-12-20,19,0
S002,D023,2025-12-21,36,0
S002,D023,2025-12-22,13,0
S002,D023,2025-12-23,30,0
S002,D023,2025-12-24,27,0
S002,D023,2025-12-25,30,0
S002,D023,2025-12-26,17,0
S002,D023,2025-12-27,23,0
S002,D023,2025-12-28,16,0
S002,D023,2025-12-29,12,0
S002,D026,2025-12-16,30,0
S002,D026,2025-12-17,41,0
S002,D026,2025-12-18,24,0
S002,D026,2025-12-19,40,0
S002,D026,2025-12-20,32,0
S002,D026,2025-12-21,43,0
S002,D026,2025-12-22,31,0
S002,D026,2025-12-23,35,0
S002,D026,2025-12-24,10,0
S002,D026,2025-12-25,13,0
S002,D026,2025-12-26,8,0
S002,D026,2025-12-27,10,0
S002,D026,2025-12-28,23,0
S002,D026,2025-12-29,22,0
S002,D038,2025-12-16,41,0
S002,D038,2025-12-17,6,0
S002,D038,2025-12-18,37,0
S002,D038,2025-12-19,21,0
S002,D038,2025-12-20,44,0
S002,D038,2025-12-21,28,0
S002,D038,2025-12-22,21,0
S002,D038,2025-12-23,17,0
S002,D038,2025-12-24,37,0
S002,D038,2025-12-25,12,0
S002,D038,2025-12-26,20,0
S002,D038,2025-12-27,35,0
S002,D038,2025-12-28,6,1
S002,D038,2025-12-29,33,0
S002,D047,2025-12-16,18,0
S002,D047,2025-12-17,6,0
S002,D047,2025-12-18,17,0
S002,D047,2025-12-19,6,1
S002,D047,2025-12-20,28,0
S002,D047,2025-12-21,34,0
S002,D047,2025-12-22,35,0
S002,D047,2025-12-23,19,0
S002,D047,2025-12-24,42,0
S002,D047,2025-12-25,17,0
S002,D047,2025-12-26,18,0
S002,D047,2025-12-27,44,0
S002,D047,2025-12-28,30,0
S002,D047,2025-12-29,37,0
S002,D055,2025-12-16,13,0
S002,D055,2025-12-17,19,0
S002,D055,2025-12-18,10,0
S002,D055,2025-12-19,22,0
S002,D055,2025-12-20,6,0
S002,D055,2025-12-21,29,0
S002,D055,2025-12-22,7,1
S002,D055,2025-12-23,36,0
S002,D055,2025-12-24,24,0
S002,D055,2025-12-25,21,0
S002,D055,2025-12-26,10,0
S002,D055,2025-12-27,41,0
S002,D055,2025-12-28,35,0
S002,D055,2025-12-29,19,0
S002,D056,2025-12-16,44,0
S002,D056,2025-12-17,16,0
S002,D056,2025-12-18,31,0
S002,D056,2025-12-19,13,0
S002,D056,2025-12-20,23,0
S002,D056,2025-12-21,24,0
S002,D056,2025-12-22,27,0
S002,D056,2025-12-23,42,0
S002,D056,2025-12-24,28,0
S002,D056,2025-12-25,24,0
S002,D056,2025-12-26,35,0
S002,D056,2025-12-27,24,0
S002,D056,2025-12-28,7,0
S002,D056,2025-12-29,21,0
S002,D058,2025-12-16,33,0
S002,D058,2025-12-17,34,0
S002,D058,2025-12-18,37,0
S002,D058,2025-12-19,34,0
S002,D058,2025-12-20,25,0
S002,D058,2025-12-21,26,0
S002,D058,2025-12-22,18,0
S002,D058,2025-12-23,14,0
S002,D058,2025-12-24,30,0
S002,D058,2025-12-25,16,0
S002,D058,2025-12-26,21,0
S002,D058,2025-12-27,7,0
S002,D058,2025-12-28,18,0
