store_id,sku_id,date,regular_price,promo_price
S001,D001,2025-10-01,60.98,55.0
S001,D001,2025-10-02,62.03,
S001,D001,2025-10-03,61.45,
S001,D001,2025-10-04,61.79,56.41
S001,D001,2025-10-05,61.12,
S001,D001,2025-10-06,62.03,
S001,D001,2025-10-07,61.81,
S001,D001,2025-10-08,61.01,
S001,D001,2025-10-09,61.26,
S001,D001,2025-10-10,60.52,
S001,D001,2025-10-11,61.09,55.95
S001,D001,2025-10-12,62.25,
S001,D001,2025-10-13,60.03,
S001,D001,2025-10-14,60.07,57.88
S001,D001,2025-10-15,60.84,
S001,D001,2025-10-16,61.3,55.48
S001,D001,2025-10-17,61.61,
S001,D001,2025-10-18,62.45,
S001,D001,2025-10-19,60.93,
S001,D001,2025-10-20,62.21,
S001,D001,2025-10-21,62.39,
S001,D001,2025-10-22,62.1,58.74
S001,D001,2025-10-23,60.82,
S001,D001,2025-10-24,61.46,
S001,D001,2025-10-25,62.45,
S001,D001,2025-10-26,61.7,
S001,D001,2025-10-27,60.54,53.5
S001,D001,2025-10-28,61.83,
S001,D001,2025-10-29,62.46,
S001,D001,2025-10-30,62.43,
S001,D001,2025-10-31,61.88,57.55
S001,D001,2025-11-01,61.91,
S001,D001,2025-11-02,61.97,56.61
S001,D001,2025-11-03,59.65,56.12
S001,D001,2025-11-04,61.64,
S001,D001,2025-11-05,62.1,
S001,D001,2025-11-06,61.9,55.78
S001,D001,2025-11-07,61.37,
S001,D001,2025-11-08,59.51,
S001,D001,2025-11-09,61.53,56.37
S001,D001,2025-11-10,62.19,
S001,D001,2025-11-11,60.21,
S001,D001,2025-11-12,60.54,
S001,D001,2025-11-13,60.4,
S001,D001,2025-11-14,60.69,
S001,D001,2025-11-15,62.16,
S001,D001,2025-11-16,59.75,
S001,D001,2025-11-17,61.65,
S001,D001,2025-11-18,62.5,
S001,D001,2025-11-19,60.72,56.58
S001,D001,2025-11-20,62.49,
S001,D001,2025-11-21,61.29,
S001,D001,2025-11-22,62.25,
S001,D001,2025-11-23,59.9,
S001,D001,2025-11-24,59.7,
S001,D001,2025-11-25,59.55,
S001,D001,2025-11-26,61.4,
S001,D001,2025-11-27,60.76,
S001,D001,2025-11-28,61.76,
S001,D001,2025-11-29,60.35,
S001,D001,2025-11-30,60.21,
S001,D001,2025-12-01,62.23,
S001,D001,2025-12-02,61.73,
S001,D001,2025-12-03,61.46,
S001,D001,2025-12-04,60.22,
S001,D001,2025-12-05,59.97,
S001,D001,2025-12-06,60.35,
S001,D001,2025-12-07,61.88,
S001,D001,2025-12-08,60.82,
S001,D001,2025-12-09,62.48,
S001,D001,2025-12-10,61.94,
S001,D001,2025-12-11,61.86,
S001,D001,2025-12-12,61.19,57.44
S001,D001,2025-12-13,62.37,
S001,D001,2025-12-14,60.8,58.76
S001,D001,2025-12-15,59.81,53.96
S001,D001,2025-12-16,59.7,
S001,D001,2025-12-17,61.05,
S001,D001,2025-12-18,59.65,54.56
S001,D001,2025-12-19,59.68,
S001,D001,2025-12-20,60.12,
S001,D001,2025-12-21,60.68,
S001,D001,2025-12-22,59.5,56.98
S001,D001,2025-12-23,59.5,
S001,D001,2025-12-24,60.97,
S001,D001,2025-12-25,60.79,
S001,D001,2025-12-26,62.02,
S001,D001,2025-12-27,60.47,
S001,D001,2025-12-28,60.94,
S001,D001,2025-12-29,60.18,
S001,D007,2025-10-01,70.29,64.77
S001,D007,2025-10-02,69.63,61.57
S001,D007,2025-10-03,67.91,
S001,D007,2025-10-04,67.53,
S001,D007,2025-10-05,67.59,63.25
S001,D007,2025-10-06,68.22,
S001,D007,2025-10-07,69.27,
S001,D007,2025-10-08,67.51,
S001,D007,2025-10-09,69.36,65.86
S001,D007,2025-10-10,70.07,
S001,D007,2025-10-11,70.26,
S001,D007,2025-10-12,69.31,
S001,D007,2025-10-13,68.58,
S001,D007,2025-10-14,68.46,
S001,D007,2025-10-15,69.3,
S001,D007,2025-10-16,68.74,
S001,D007,2025-10-17,67.73,61.71
S001,D007,2025-10-18,67.56,63.86
S001,D007,2025-10-19,69.62,
S001,D007,2025-10-20,68.45,
S001,D007,2025-10-21,69.28,61.86
S001,D007,2025-10-22,69.58,64.41
S001,D007,2025-10-23,70.48,62.13
S001,D007,2025-10-24,70.48,
S001,D007,2025-10-25,67.88,
S001,D007,2025-10-26,70.14,
S001,D007,2025-10-27,69.37,
S001,D007,2025-10-28,67.65,
S001,D007,2025-10-29,68.38,
S001,D007,2025-10-30,70.01,65.36
S001,D007,2025-10-31,68.19,
S001,D007,2025-11-01,68.26,
