basket_id,customer_id,store_id,date,sku_id,qty,price,promo_flag
B000001,CU1917,S001,2025-11-01,D053,1,115.3,0
B000001,CU1917,S001,2025-11-01,W003,2,12.9,0
B000001,CU1917,S001,2025-11-01,C003,1,28.0,0
B000002,CU6233,S001,2025-11-01,D053,1,116.44,0
B000003,CU1466,S001,2025-11-01,D011,1,109.38,0
B000003,CU1466,S001,2025-11-01,W001,2,15.9,0
B000004,CU9367,S001,2025-11-01,D032,1,78.0,0
B000004,CU9367,S001,2025-11-01,W006,2,12.9,0
B000005,CU7796,S001,2025-11-01,D054,1,118.31,0
B000005,CU7796,S001,2025-11-01,W008,1,12.9,0
B000006,CU1379,S001,2025-11-01,D020,1,72.99,0
B000006,CU1379,S001,2025-11-01,W003,1,12.9,0
B000007,CU8262,S001,2025-11-01,D011,1,109.77,0
B000007,CU8262,S001,2025-11-01,W008,1,15.9,0
B000008,CU6736,S001,2025-11-01,D032,2,78.53,0
B000008,CU6736,S001,2025-11-01,W006,1,12.9,0
B000009,CU5718,S001,2025-11-02,D045,2,102.32,0
B000009,CU5718,S001,2025-11-02,W002,1,12.9,0
B000010,CU4171,S001,2025-11-02,D011,1,108.78,0
B000010,CU4171,S001,2025-11-02,W007,1,9.9,0
B000011,CU8351,S001,2025-11-02,D011,1,100.36,1
B000011,CU8351,S001,2025-11-02,W003,2,9.9,0
B000012,CU4229,S001,2025-11-02,D054,1,112.52,1
B000012,CU4229,S001,2025-11-02,W006,2,9.9,0
B000013,CU4181,S001,2025-11-02,D010,1,84.85,1
B000013,CU4181,S001,2025-11-02,C001,1,28.0,1
B000014,CU5469,S001,2025-11-02,D011,1,101.44,1
B000015,CU1113,S001,2025-11-02,D032,1,76.73,0
B000015,CU1113,S001,2025-11-02,W005,1,12.9,0
B000016,CU5202,S001,2025-11-02,D048,1,123.85,0
B000016,CU5202,S001,2025-11-02,W006,2,15.9,0
B000016,CU5202,S001,2025-11-02,C006,1,35.0,0
B000017,CU4891,S001,2025-11-03,D045,2,102.86,0
B000017,CU4891,S001,2025-11-03,W003,1,12.9,0
B000018,CU4972,S001,2025-11-03,D032,1,76.94,0
B000019,CU7580,S001,2025-11-03,D010,2,89.41,0
B000019,CU7580,S001,2025-11-03,W005,1,18.9,0
B000019,CU7580,S001,2025-11-03,C001,1,35.0,0
B000020,CU8606,S001,2025-11-03,D010,2,88.68,0
B000021,CU5897,S001,2025-11-03,D021,1,92.73,0
B000022,CU2319,S001,2025-11-03,D011,2,105.63,1
B000022,CU2319,S001,2025-11-03,C003,1,28.0,0
B000023,CU7873,S001,2025-11-03,D010,1,80.77,1
B000024,CU2535,S001,2025-11-03,D048,2,111.68,1
B000025,CU8659,S001,2025-11-04,D045,1,102.69,0
B000025,CU8659,S001,2025-11-04,W006,1,12.9,0
B000026,CU1080,S001,2025-11-04,D045,1,101.74,0
B000027,CU7795,S001,2025-11-04,D013,1,66.75,0
B000027,CU7795,S001,2025-11-04,W005,2,9.9,1
B000028,CU3486,S001,2025-11-04,D053,1,114.73,0
B000029,CU1088,S001,2025-11-04,D053,1,119.88,0
B000030,CU2854,S001,2025-11-04,D053,1,106.61,1
B000030,CU2854,S001,2025-11-04,W006,1,9.9,1
B000031,CU3708,S001,2025-11-04,D021,1,93.1,0
B000032,CU5628,S001,2025-11-04,D021,1,95.26,0
B000033,CU4366,S001,2025-11-05,D048,2,120.04,0
B000033,CU4366,S001,2025-11-05,W006,1,15.9,1
B000033,CU4366,S001,2025-11-05,C004,1,22.0,0
B000034,CU2631,S001,2025-11-05,D011,1,103.82,1
B000035,CU6835,S001,2025-11-05,D021,1,93.26,0
B000035,CU6835,S001,2025-11-05,W007,1,18.9,1
B000036,CU4231,S001,2025-11-05,D045,1,102.56,0
B000036,CU4231,S001,2025-11-05,C006,1,28.0,0
B000037,CU3940,S001,2025-11-05,D032,1,74.33,1
B000037,CU3940,S001,2025-11-05,C001,1,22.0,0
B000038,CU7937,S001,2025-11-05,D011,2,111.92,0
B000039,CU1975,S001,2025-11-05,D021,1,95.28,0
B000039,CU1975,S001,2025-11-05,W004,1,15.9,0
B000040,CU2076,S001,2025-11-05,D053,2,116.43,0
B000040,CU2076,S001,2025-11-05,W001,2,15.9,0
B000041,CU8466,S001,2025-11-06,D010,1,87.73,0
B000041,CU8466,S001,2025-11-06,C004,1,35.0,0
B000042,CU6048,S001,2025-11-06,D013,1,65.43,0
B000043,CU8651,S001,2025-11-06,D045,1,102.56,0
B000043,CU8651,S001,2025-11-06,W001,1,18.9,0
B000044,CU2192,S001,2025-11-06,D021,1,94.88,0
B000044,CU2192,S001,2025-11-06,W002,2,15.9,0
B000044,CU2192,S001,2025-11-06,C003,1,42.0,0
B000045,CU1482,S001,2025-11-06,D053,1,118.63,0
B000045,CU1482,S001,2025-11-06,W007,1,9.9,1
B000046,CU5524,S001,2025-11-06,D013,2,65.44,0
B000046,CU5524,S001,2025-11-06,W008,1,15.9,0
B000047,CU8066,S001,2025-11-06,D021,1,89.13,1
B000048,CU1887,S001,2025-11-06,D054,1,118.98,0
B000048,CU1887,S001,2025-11-06,W004,1,12.9,0
B000049,CU2348,S001,2025-11-07,D045,2,99.32,0
B000049,CU2348,S001,2025-11-07,W007,1,18.9,0
B000050,CU9892,S001,2025-11-07,D053,2,120.27,0
B000051,CU8920,S001,2025-11-07,D045,2,99.9,0
B000051,CU8920,S001,2025-11-07,W007,1,9.9,0
B000051,CU8920,S001,2025-11-07,C001,1,35.0,0
B000052,CU5027,S001,2025-11-07,D010,2,88.55,0
B000052,CU5027,S001,2025-11-07,W002,2,18.9,0
B000052,CU5027,S001,2025-11-07,C003,1,35.0,0
B000053,CU1352,S001,2025-11-07,D020,1,71.71,0
B000053,CU1352,S001,2025-11-07,W008,1,9.9,0
B000054,CU6752,S001,2025-11-07,D048,1,113.73,1
B000054,CU6752,S001,2025-11-07,W003,1,15.9,0
B000055,CU8182,S001,2025-11-07,D011,1,108.37,0
B000056,CU6279,S001,2025-11-07,D021,1,94.03,0
B000056,CU6279,S001,2025-11-07,C006,1,28.0,0
B000057,CU2211,S001,2025-11-08,D021,1,92.7,0
B000058,CU7517,S001,2025-11-08,D020,2,74.55,0
B000058,CU7517,S001,2025-11-08,W005,1,18.9,0
B000059,CU8870,S001,2025-11-08,D011,2,105.05,1
B000059,CU8870,S001,2025-11-08,W007,2,18.9,0
B000060,CU6026,S001,2025-11-08,D020,1,74.23,0
B000060,CU6026,S001,2025-11-08,W005,1,12.9,0
B000061,CU2919,S001,2025-11-08,D013,1,61.83,1
B000062,CU9625,S001,2025-11-08,D010,1,87.35,0
B000062,CU9625,S001,2025-11-08,W002,1,9.9,0
B000063,CU7783,S001,2025-11-08,D020,1,72.16,0
B000063,CU7783,S001,2025-11-08,W008,1,18.9,0
B000063,CU7783,S001,2025-11-08,C005,1,22.0,0
B000064,CU4277,S001,2025-11-08,D010,1,82.94,1
B000065,CU3669,S001,2025-11-09,D013,1,59.71,1
B000066,CU4644,S001,2025-11-09,D010,1,90.59,0
B000066,CU4644,S001,2025-11-09,W007,1,12.9,0
B000066,CU4644,S001,2025-11-09,C005,1,28.0,0
B000067,CU6407,S001,2025-11-09,D020,1,70.01,1
B000067,CU6407,S001,2025-11-09,W002,1,15.9,0
B000068,CU7739,S001,2025-11-09,D020,1,68.23,1
B000068,CU7739,S001,2025-11-09,W005,1,15.9,0
B000068,CU7739,S001,2025-11-09,C005,1,42.0,0
B000069,CU8399,S001,2025-11-09,D020,1,74.11,0
B000069,CU8399,S001,2025-11-09,W007,1,15.9,0
B000070,CU8471,S001,2025-11-09,D011,1,107.51,0
B000070,CU8471,S001,2025-11-09,W006,2,18.9,0
B000070,CU8471,S001,2025-11-09,C005,1,22.0,0
B000071,CU8159,S001,2025-11-09,D032,1,78.73,0
B000071,CU8159,S001,2025-11-09,C003,1,22.0,0
B000072,CU8903,S001,2025-11-09,D053,2,118.5,0
B000072,CU8903,S001,2025-11-09,W001,1,15.9,0
B000072,CU8903,S001,2025-11-09,C006,1,35.0,0
B000073,CU4694,S001,2025-11-10,D032,1,77.94,0
B000074,CU5309,S001,2025-11-10,D053,2,118.36,0
B000075,CU7288,S001,2025-11-10,D010,2,87.6,0
B000076,CU7143,S001,2025-11-10,D010,1,82.4,1
B000076,CU7143,S001,2025-11-10,W002,1,15.9,0
B000076,CU7143,S001,2025-11-10,C003,1,42.0,0
B000077,CU6493,S001,2025-11-10,D048,2,122.07,0
B000077,CU6493,S001,2025-11-10,C001,1,22.0,0
B000078,CU2993,S001,2025-11-10,D048,2,108.91,1
B000078,CU2993,S001,2025-11-10,W006,1,18.9,0
B000079,CU4606,S001,2025-11-10,D020,1,70.66,1
B000079,CU4606,S001,2025-11-10,W005,1,12.9,0
B000080,CU6730,S001,2025-11-10,D048,2,119.44,0
B000080,CU6730,S001,2025-11-10,C004,1,35.0,0
B000081,CU4860,S001,2025-11-11,D020,1,74.11,0
B000082,CU9775,S001,2025-11-11,D020,1,72.88,0
B000082,CU9775,S001,2025-11-11,W007,1,18.9,1
B000083,CU5627,S001,2025-11-11,D054,1,119.14,0
B000083,CU5627,S001,2025-11-11,W001,1,15.9,0
B000084,CU8353,S001,2025-11-11,D053,1,120.35,0
B000084,CU8353,S001,2025-11-11,C002,1,35.0,0
B000085,CU9741,S001,2025-11-11,D010,1,88.64,0
B000086,CU6133,S001,2025-11-11,D032,2,78.24,0
B000086,CU6133,S001,2025-11-11,W007,2,9.9,0
B000087,CU2044,S001,2025-11-11,D054,1,117.41,0
B000088,CU3443,S001,2025-11-11,D011,1,109.27,0
B000088,CU3443,S001,2025-11-11,W003,1,9.9,0
B000088,CU3443,S001,2025-11-11,C006,1,35.0,0
B000089,CU6512,S001,2025-11-12,D045,2,101.79,0
B000089,CU6512,S001,2025-11-12,C006,1,42.0,0
B000090,CU1855,S001,2025-11-12,D010,1,88.47,0
B000090,CU1855,S001,2025-11-12,W004,1,18.9,1
B000091,CU2876,S001,2025-11-12,D020,1,72.98,0
B000091,CU2876,S001,2025-11-12,W008,1,9.9,0
B000092,CU1762,S001,2025-11-12,D053,1,118.58,0
B000093,CU2741,S001,2025-11-12,D054,1,118.35,0
B000094,CU1190,S001,2025-11-12,D032,2,75.55,0
B000094,CU1190,S001,2025-11-12,W001,1,18.9,0
B000095,CU2151,S001,2025-11-12,D045,1,102.18,0
B000095,CU2151,S001,2025-11-12,W007,1,15.9,1
B000096,CU3005,S001,2025-11-12,D020,2,73.44,0
B000096,CU3005,S001,2025-11-12,W004,2,9.9,0
B000097,CU3518,S001,2025-11-13,D021,2,86.78,1
B000097,CU3518,S001,2025-11-13,W003,2,18.9,1
B000097,CU3518,S001,2025-11-13,C002,1,35.0,0
B000098,CU1567,S001,2025-11-13,D045,2,101.87,0
B000099,CU4066,S001,2025-11-13,D053,1,117.02,0
B000100,CU2085,S001,2025-11-13,D054,1,117.43,0
B000100,CU2085,S001,2025-11-13,W004,2,15.9,0
B000101,CU8281,S001,2025-11-13,D013,1,65.15,0
B000101,CU8281,S001,2025-11-13,W008,2,15.9,0
B000102,CU7054,S001,2025-11-13,D048,1,122.87,0
B000102,CU7054,S001,2025-11-13,W007,2,18.9,0
B000103,CU2598,S001,2025-11-13,D032,1,74.42,1
B000104,CU9926,S001,2025-11-13,D010,2,81.84,1
B000104,CU9926,S001,2025-11-13,W001,2,9.9,0
B000105,CU3148,S001,2025-11-14,D045,1,92.54,1
B000105,CU3148,S001,2025-11-14,W006,1,12.9,0
B000106,CU2968,S001,2025-11-14,D020,1,73.07,0
B000106,CU2968,S001,2025-11-14,W005,2,15.9,0
B000107,CU4482,S001,2025-11-14,D048,1,122.3,0
B000107,CU4482,S001,2025-11-14,W003,2,12.9,0
B000108,CU4262,S001,2025-11-14,D032,1,69.98,1
B000109,CU1415,S001,2025-11-14,D011,2,111.84,0
B000109,CU1415,S001,2025-11-14,W006,1,18.9,0
B000110,CU7044,S001,2025-11-14,D011,1,108.56,0
B000110,CU7044,S001,2025-11-14,W006,1,12.9,0
B000111,CU6732,S001,2025-11-14,D048,2,121.2,0
B000111,CU6732,S001,2025-11-14,W001,1,18.9,0
B000112,CU2315,S001,2025-11-14,D032,1,70.47,1
B000112,CU2315,S001,2025-11-14,W005,1,12.9,0
B000113,CU3940,S001,2025-11-15,D021,1,90.19,1
B000114,CU3654,S001,2025-11-15,D032,1,70.72,1
B000114,CU3654,S001,2025-11-15,W004,2,9.9,1
B000114,CU3654,S001,2025-11-15,C002,1,42.0,0
B000115,CU5310,S001,2025-11-15,D013,2,65.62,0
B000116,CU2818,S001,2025-11-15,D032,1,78.28,0
B000117,CU8269,S001,2025-11-15,D011,1,107.32,0
B000117,CU8269,S001,2025-11-15,W002,1,18.9,0
B000118,CU7859,S001,2025-11-15,D010,1,88.23,0
B000118,CU7859,S001,2025-11-15,W005,1,15.9,0
B000119,CU1568,S001,2025-11-15,D054,1,116.13,0
B000120,CU8946,S001,2025-11-15,D021,2,93.43,0
B000120,CU8946,S001,2025-11-15,W006,1,18.9,0
B000121,CU9159,S001,2025-11-16,D013,1,64.42,0
B000121,CU9159,S001,2025-11-16,W001,1,15.9,0
B000122,CU6995,S001,2025-11-16,D013,2,59.89,1
B000122,CU6995,S001,2025-11-16,W004,1,15.9,0
B000123,CU6522,S001,2025-11-16,D010,1,89.77,0
B000123,CU6522,S001,2025-11-16,W006,1,18.9,0
B000123,CU6522,S001,2025-11-16,C006,1,22.0,0
B000124,CU3017,S001,2025-11-16,D013,2,64.78,0
B000124,CU3017,S001,2025-11-16,W001,2,15.9,0
B000125,CU6962,S001,2025-11-16,D021,1,88.1,1
B000125,CU6962,S001,2025-11-16,C005,1,42.0,0
B000126,CU8535,S001,2025-11-16,D021,2,94.29,0
B000127,CU9368,S001,2025-11-16,D020,1,73.86,0
B000128,CU8973,S001,2025-11-16,D010,2,88.4,0
B000128,CU8973,S001,2025-11-16,W006,1,15.9,0
B000129,CU2607,S001,2025-11-17,D045,1,102.16,0
B000129,CU2607,S001,2025-11-17,W006,1,15.9,0
